graph_type,n,m,max_flow,r,exec_time_ms,s_bar,t_bar,i_bar,d_bar,u_bar
square_mesh,2502,61050,150000,0.00012156,58768,0.999892,0.515123,0,0,0
square_mesh,2706,66104,156000,0.000112367,64235,0.999901,0.515279,0,0,0
square_mesh,2918,71358,162000,0.000106012,99153,0.999909,0.51559,0,0,0
square_mesh,3138,76812,168000,9.95204e-05,111894,0.999917,0.515806,0,0,0
square_mesh,3366,82466,174000,9.33783e-05,103414,0.999923,0.515465,0,0,0
square_mesh,3602,88320,180000,8.80776e-05,117664,0.999929,0.515603,0,0,0
square_mesh,3846,94374,186000,8.31987e-05,163376,0.999934,0.515617,0,0,0
square_mesh,4098,100628,192000,7.85695e-05,230493,0.999938,0.515818,0,0,0
square_mesh,4358,107082,198000,7.40234e-05,228435,0.999942,0.516019,0,0,0
square_mesh,4626,113736,204000,7.06614e-05,281666,0.999946,0.516076,0,0,0
square_mesh,4902,120590,210000,6.65536e-05,317586,0.999949,0.516072,0,0,0
square_mesh,5186,127644,216000,6.31759e-05,334325,0.999952,0.516266,0,0,0
square_mesh,5478,134898,222000,6.03379e-05,306786,0.999955,0.516258,0,0,0
square_mesh,5778,142352,228000,5.71641e-05,372877,0.999957,0.516261,0,0,0
square_mesh,6086,150006,234000,5.45471e-05,516744,0.99996,0.516363,0,0,0
square_mesh,6402,157860,240000,5.21581e-05,544191,0.999962,0.516234,0,0,0
square_mesh,6726,165914,246000,4.9639e-05,577719,0.999964,0.516362,0,0,0
square_mesh,7058,174168,252000,4.75499e-05,527232,0.999966,0.516468,0,0,0
square_mesh,7398,182622,258000,4.56479e-05,663686,0.999968,0.516403,0,0,0
square_mesh,7746,191276,264000,4.38114e-05,795188,0.999969,0.516451,0,0,0
square_mesh,8102,200130,270000,4.1818e-05,1.04942e+06,0.999971,0.51651,0,0,0
square_mesh,8466,209184,276000,4.01694e-05,1.1737e+06,0.999972,0.516657,0,0,0
square_mesh,8838,218438,282000,3.85661e-05,1.13842e+06,0.999973,0.516708,0,0,0
square_mesh,9218,227892,288000,3.70951e-05,1.2603e+06,0.999974,0.516665,0,0,0
matching,5002,67500,2500,1.48148e-05,26306,0.988254,0.271607,0,0,0
matching,5332,71955,2665,1.38976e-05,24738,0.987178,0.271308,0,0,0
matching,5662,76410,2830,1.30873e-05,27473,0.989333,0.271962,0,0,0
matching,5992,80865,2995,1.23663e-05,30194,0.988691,0.27178,0,0,0
matching,6322,85320,3160,1.17206e-05,33121,0.988692,0.27048,0,0,0
matching,6652,89775,3325,1.1139e-05,37150,0.988252,0.270982,0,0,0
matching,6982,94230,3490,1.06123e-05,42440,0.988342,0.272879,0,0,0
matching,7312,98685,3655,1.01333e-05,46675,0.98789,0.270725,0,0,0
matching,7642,103140,3820,9.69556e-06,53297,0.989853,0.274179,0,0,0
matching,7972,107595,3985,9.29411e-06,59236,0.987533,0.268934,0,0,0
matching,8302,112050,4150,8.92459e-06,60099,0.988875,0.270973,0,0,0
matching,8632,116505,4315,8.58332e-06,65668,0.988367,0.269807,0,0,0
matching,8962,120960,4480,8.2672e-06,75970,0.989222,0.271108,0,0,0
matching,9292,125415,4645,7.97353e-06,79081,0.988835,0.27106,0,0,0
matching,9622,129870,4810,7.70001e-06,83030,0.988206,0.270187,0,0,0
matching,9952,134325,4975,7.44463e-06,88132,0.989021,0.271209,0,0,0
matching,10282,138780,5140,7.20565e-06,92547,0.988009,0.26975,0,0,0
matching,10612,143235,5305,6.98153e-06,142045,0.98929,0.271332,0,0,0
matching,10942,147690,5470,6.77094e-06,130833,0.989158,0.272502,0,0,0
matching,11272,152145,5635,6.57268e-06,146197,0.988769,0.270685,0,0,0
matching,11602,156600,5800,6.3857e-06,133301,0.988635,0.271057,0,0,0
matching,11932,161055,5965,6.20906e-06,147320,0.990442,0.273444,0,0,0
matching,12262,165510,6130,6.04193e-06,187264,0.989326,0.272093,0,0,0
matching,12592,169965,6295,5.88356e-06,194785,0.988025,0.270607,0,0,0
random_level,2502,7450,33275,0.000270173,3460,0.943237,0.594526,0,0,0
random_level,2706,8060,39048,0.000296648,8812,0.948252,0.605795,0,0,0
random_level,2918,8694,38616,0.000251566,9667,0.945303,0.59988,0,0,0
random_level,3138,9352,41513,0.000239142,7284,0.949286,0.605074,0,0,0
random_level,3366,10034,42955,0.000228101,14200,0.94116,0.601167,0,0,0
random_level,3602,10740,39649,0.000184048,11798,0.939638,0.591609,0,0,0
random_level,3846,11470,44675,0.000191959,14580,0.941595,0.600772,0,0,0
random_level,4098,12224,44751,0.000176468,15782,0.937736,0.597721,0,0,0
random_level,4626,13804,50060,0.000162707,29104,0.945269,0.603862,0,0,0
random_level,4358,13002,49293,0.000183189,20713,0.9473,0.608245,0,0,0
random_level,4902,14630,50190,0.000148641,22823,0.940547,0.600791,0,0,0
random_level,5186,15480,51478,0.000142478,22522,0.942506,0.602235,0,0,0
random_level,5478,16354,51717,0.000131269,29700,0.942809,0.600268,0,0,0
random_level,5778,17252,53141,0.000119741,31571,0.943329,0.598814,0,0,0
random_level,6086,18174,56417,0.000118311,34257,0.945273,0.60271,0,0,0
random_level,6402,19120,58864,0.00011934,41730,0.948343,0.608542,0,0,0
random_level,6726,20090,59234,0.000111082,49033,0.941651,0.604004,0,0,0
random_level,7058,21084,58393,9.79498e-05,45557,0.941293,0.598689,0,0,0
random_level,7398,22102,62210,9.94553e-05,58565,0.946809,0.605508,0,0,0
random_level,7746,23144,59341,8.44185e-05,65907,0.947251,0.598538,0,0,0
random_level,8102,24210,65941,9.0166e-05,79466,0.950238,0.606759,0,0,0
random_level,8466,25300,67158,8.87997e-05,76837,0.944104,0.607294,0,0,0
random_level,8838,26414,67737,8.17316e-05,81379,0.943494,0.604144,0,0,0
random_level,9218,27552,69343,7.97718e-05,96912,0.938842,0.602957,0,0,0
basic_line,2502,47012,612620,5.98177e-05,26400,0.993499,0.508764,0,0,0
