graph_type,n,m,max_flow,r,exec_time_ms,s_bar,t_bar,i_bar,d_bar,u_bar
square_mesh,2502,61050,150000,0.000222914,1788,6.95281e-310,0,0.987909,0.691107,0.0636187
square_mesh,2706,66104,156000,0.00021835,2552,6.95262e-310,0,0.984688,0.693247,0.0615944
square_mesh,2918,71358,162000,0.000205686,2681,6.95264e-310,0,0.986026,0.730172,0.0644536
square_mesh,3138,76812,168000,0.000197253,2998,6.95304e-310,0,0.983402,0.761406,0.0646518
square_mesh,3366,82466,174000,0.000191554,3138,6.95317e-310,0,0.983282,0.691175,0.0613858
square_mesh,3602,88320,180000,0.000184842,3342,6.95319e-310,0,0.983202,0.691664,0.0620545
square_mesh,3846,94374,186000,0.000177965,3884,6.95323e-310,0,0.980055,0.668173,0.0611391
square_mesh,4098,100628,192000,0.000169866,4350,6.95326e-310,0,0.980774,0.715067,0.0640385
square_mesh,4358,107082,198000,0.000162941,4562,6.95276e-310,0,0.983559,0.727147,0.0635096
square_mesh,4626,113736,204000,0.000159514,5079,6.95316e-310,0,0.985132,0.704953,0.0628815
square_mesh,4902,120590,210000,0.000154313,5109,6.95304e-310,0,0.981307,0.641449,0.0600615
square_mesh,5186,127644,216000,0.000151198,5651,6.95321e-310,0,0.978258,0.630766,0.0588989
square_mesh,5478,134898,222000,0.000145671,6102,6.95255e-310,0,0.980996,0.646701,0.0602177
square_mesh,5778,142352,228000,0.000139323,6804,6.95299e-310,0,0.97983,0.643694,0.0613641
square_mesh,6086,150006,234000,0.00013829,7921,6.95299e-310,0,0.981177,0.698868,0.0614788
square_mesh,6402,157860,240000,0.000131496,8264,6.95292e-310,0,0.981793,0.706995,0.0629229
square_mesh,6726,165914,246000,0.000128566,8741,6.95257e-310,0,0.978882,0.703007,0.0620738
square_mesh,7058,174168,252000,0.000126396,9901,6.95317e-310,0,0.982537,0.73877,0.0639288
square_mesh,7398,182622,258000,0.000120926,9656,6.95278e-310,0,0.977571,0.684086,0.0619035
square_mesh,7746,191276,264000,0.000118145,12559,6.95266e-310,0,0.97825,0.688001,0.0625776
square_mesh,8102,200130,270000,0.000116869,14072,6.95315e-310,0,0.98359,0.728544,0.0638783
square_mesh,8466,209184,276000,0.000114789,15032,6.95257e-310,0,0.977089,0.73317,0.0621116
square_mesh,8838,218438,282000,0.00010999,14230,6.9527e-310,0,0.97661,0.719068,0.063406
